        c12         c13         c14 
  3.3740005   4.4379997   5.4099998 
  3.8449993   4.9039993   6.0060005 
  4.7799988   7.4449997   8.6320000 
  3.9020004   5.3299999   6.3279991 
  3.9100018   5.3120003   6.3370018 
  4.5020008   6.2539997   7.2600002 
  3.2969990   4.2829990   4.9790001 
  4.5440006   6.3619995   7.3970013 
  3.8710003   5.3110008   6.3069992 
  5.1090012   7.0370007   8.0790005 
  4.4449997   6.0160007   7.0669994 
  5.5190010   7.6539993   8.7220001 
  4.2329998   5.9260006   6.9519997 
  4.0520000   5.3990002   6.4400005 
  3.6119995   4.8929996   5.8589993 
  5.2690010   7.6030006   8.6100006 
  4.4880009   6.2550011   7.2800007 
  5.2560005   7.4300003   8.4969997 
  4.8500004   6.5139999   7.5599995 
  5.5629997   7.6760006   8.7849998 
  5.1510010   7.1380005   8.1810017 
  4.8820000   6.7960014   7.8080006 
  5.4720001   7.6040001   8.6949997 
  5.4419994   7.5820007   8.6550007 
  3.8829994   5.1019993   6.1000004 
  3.4910011   4.6100006   5.5450001 
  4.5109997   6.2269993   7.3059998 
  4.3670006   5.9770012   6.9960003 
  4.8009987   6.7119999   7.7549992 
  5.4379997   7.4010010   8.5039997 
  5.0479984   6.8639984   7.9449997 
  4.4570007   5.9589996   6.9850006 
  5.3150005   7.3850002   8.4580002 
  4.5579987   6.2740002   7.3279991 
  4.5639992   6.3579998   7.3969994 
  5.3249989   7.8719997   9.0459995 
  2.7620010   3.5570011   4.2959995 
  5.0810013   6.9980011   8.0349998 
  5.5799999   6.8039989   7.9009991 
  5.2139988   7.1339989   8.1870003 
  4.8920002   6.8519993   7.9259987 
  4.6780014   6.5090008   7.5360012 
  4.7510014   6.3780003   7.4160004 
  3.4290009   4.6310005   5.6089993 
  5.1299992   6.9979992   8.1019993 
  4.2420006   5.7690010   6.7789993 
  5.3309994   7.1329994   8.3149986 
  4.0809994   4.2910004   5.0419998 
  5.3540001   7.1160011   8.2460003 
  4.1369991   5.5879993   6.6889992 
  4.4669991   6.0079994   7.0410004 
  5.8160000   7.0049992   8.0809994 
  3.1160011   4.1360016   5.1060009 
  3.3489990   4.8439999   5.8579998 
  4.9090004   6.7880001   7.8559990 
  5.0749989   7.1579990   8.2429981 
  3.9930000   5.3899994   6.4200001 
  4.8129997   6.5629997   7.6189995 
  4.3120003   5.8369999   6.7889996 
  3.6590004   4.6690006   5.3600006 
  5.1590004   7.3620014   8.4290009 
  4.1170006   5.5250015   6.4670010 
  4.0139999   5.3299999   6.3260002 
  3.7609997   5.0569992   6.1189995 
  4.3880005   6.0039997   7.0090008 
  3.9739990   5.3950005   6.3959999 
  3.9330006   5.7160015   6.7440014 
  4.3050003   5.8349991   6.8629990 
  3.8490009   5.1760006   6.1640015 
  4.8649998   6.6709995   7.7290001 
  3.3659992   4.7880001   5.7630005 
  4.8230000   6.7110004   7.8169994 
  4.9279995   6.7149982   7.7549992 
  4.0699997   5.5930004   6.6490002 
  4.4839993   6.1419983   7.2659988 
  3.7610016   5.2820015   6.3180008 
  4.9309998   7.1749992   8.2039986 
  2.9969997   3.9349995   4.8759995 
  4.5109997   6.0130005   7.0250015 
  4.3549995   6.1229992   7.1729984 
  4.8380013   6.6400013   7.7200012 
  4.3239994   6.0079994   7.0489998 
  4.8169994   6.9139996   7.9739990 
  4.1510010   5.8290005   6.9210014 
  5.4260006   7.4350014   8.5110016 
  4.6250000   6.5740013   7.6300011 
  4.3150005   5.8990002   6.8969994 
  4.5590000   6.1849995   7.2690010 
  2.1450005   2.7950001   3.4960003 
  5.1849995   7.0749989   8.1369991 
  4.8780003   6.7719994   7.7819996 
  4.4430008   6.0830002   7.1060009 
  4.6599998   6.4480000   7.5000000 
  4.2940006   5.9330006   6.9459991 
  4.4890003   6.2229996   7.2479992 
  5.3460007   7.2479992   8.3239994 
  4.6359997   6.3999996   7.4689999 
  4.2440014   5.7749996   6.7970009 
  3.7449989   5.3090000   6.3149986 
  4.3420010   5.9810009   6.9790001 
  5.3909988   7.5790005   8.6229992 
  4.6510010   6.2830009   7.3020000 
